$HOME/.local/bin/brilcalc lumi --normtag /afs/cern.ch/user/l/lumipro/public/normtag_file/normtag_DATACERT.json -i Cert_271036-275783_13TeV_PromptReco_Collisions16_JSON.txt --hltpath HLT_Mu45_eta2p1_v* -u /pb

+-------------+-------------------+------+--------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath            | delivered(/pb) | recorded(/pb) |
| 275001:5017 | 06/13/16 18:12:42 | 2057 | HLT_Mu45_eta2p1_v3 | 209.280        | 203.835       |
| 275059:5020 | 06/14/16 16:49:52 | 37   | HLT_Mu45_eta2p1_v3 | 6.877          | 6.238         |
| 275066:5020 | 06/14/16 17:45:35 | 96   | HLT_Mu45_eta2p1_v3 | 19.693         | 18.717        |
| 275067:5020 | 06/14/16 18:28:40 | 392  | HLT_Mu45_eta2p1_v3 | 75.500         | 72.741        |
| 275068:5020 | 06/14/16 21:05:49 | 915  | HLT_Mu45_eta2p1_v3 | 151.960        | 146.110       |
| 275073:5020 | 06/15/16 03:32:47 | 517  | HLT_Mu45_eta2p1_v3 | 72.394         | 69.839        |
| 275074:5020 | 06/15/16 06:56:59 | 646  | HLT_Mu45_eta2p1_v3 | 80.291         | 77.789        |
| 275124:5021 | 06/15/16 17:50:26 | 325  | HLT_Mu45_eta2p1_v3 | 60.693         | 57.965        |
| 275125:5021 | 06/15/16 20:00:21 | 989  | HLT_Mu45_eta2p1_v3 | 160.696        | 153.822       |
| 275282:5024 | 06/17/16 00:06:15 | 90   | HLT_Mu45_eta2p1_v3 | 16.122         | 15.281        |
| 275283:5024 | 06/17/16 00:43:11 | 132  | HLT_Mu45_eta2p1_v3 | 24.149         | 22.995        |
| 275284:5024 | 06/17/16 01:36:53 | 74   | HLT_Mu45_eta2p1_v3 | 13.229         | 12.737        |
| 275290:5024 | 06/17/16 03:58:56 | 48   | HLT_Mu45_eta2p1_v3 | 7.893          | 2.747         |
| 275291:5024 | 06/17/16 04:28:35 | 347  | HLT_Mu45_eta2p1_v3 | 54.600         | 52.855        |
| 275292:5024 | 06/17/16 06:46:47 | 121  | HLT_Mu45_eta2p1_v3 | 16.803         | 16.016        |
| 275293:5024 | 06/17/16 07:37:27 | 200  | HLT_Mu45_eta2p1_v3 | 26.559         | 25.660        |
| 275309:5026 | 06/17/16 13:48:15 | 563  | HLT_Mu45_eta2p1_v3 | 87.807         | 84.604        |
| 275310:5026 | 06/17/16 17:32:53 | 1929 | HLT_Mu45_eta2p1_v3 | 235.828        | 228.637       |
| 275311:5026 | 06/18/16 06:07:07 | 1253 | HLT_Mu45_eta2p1_v3 | 112.591        | 109.909       |
| 275319:5027 | 06/18/16 18:56:15 | 142  | HLT_Mu45_eta2p1_v3 | 26.423         | 25.066        |
| 275337:5027 | 06/18/16 21:26:04 | 427  | HLT_Mu45_eta2p1_v3 | 72.900         | 70.004        |
| 275338:5027 | 06/19/16 00:15:37 | 520  | HLT_Mu45_eta2p1_v3 | 79.292         | 76.729        |
| 275344:5028 | 06/19/16 08:18:25 | 281  | HLT_Mu45_eta2p1_v3 | 53.442         | 51.325        |
| 275345:5028 | 06/19/16 10:12:11 | 353  | HLT_Mu45_eta2p1_v3 | 63.441         | 60.666        |
| 275370:5029 | 06/19/16 16:19:29 | 285  | HLT_Mu45_eta2p1_v3 | 55.438         | 52.710        |
| 275371:5029 | 06/19/16 18:16:49 | 564  | HLT_Mu45_eta2p1_v3 | 100.772        | 96.439        |
| 275375:5030 | 06/20/16 02:17:12 | 1321 | HLT_Mu45_eta2p1_v3 | 220.461        | 212.263       |
| 275376:5030 | 06/20/16 10:55:04 | 3095 | HLT_Mu45_eta2p1_v3 | 341.714        | 332.759       |
| 275657:5038 | 06/24/16 03:32:32 | 105  | HLT_Mu45_eta2p1_v3 | 20.488         | 18.777        |
| 275658:5038 | 06/24/16 04:16:07 | 337  | HLT_Mu45_eta2p1_v3 | 64.653         | 61.196        |
| 275659:5038 | 06/24/16 06:31:38 | 17   | HLT_Mu45_eta2p1_v3 | 3.117          | 3.010         |
| 275761:5043 | 06/25/16 04:24:16 | 9    | HLT_Mu45_eta2p1_v3 | 1.985          | 1.739         |
| 275767:5043 | 06/25/16 05:31:36 | 4    | HLT_Mu45_eta2p1_v3 | 0.832          | 0.734         |
| 275772:5043 | 06/25/16 06:28:17 | 56   | HLT_Mu45_eta2p1_v3 | 11.156         | 10.731        |
| 275773:5043 | 06/25/16 06:53:33 | 7    | HLT_Mu45_eta2p1_v3 | 1.373          | 1.226         |
| 275774:5043 | 06/25/16 07:01:55 | 312  | HLT_Mu45_eta2p1_v3 | 59.655         | 57.030        |
| 275776:5043 | 06/25/16 09:11:23 | 140  | HLT_Mu45_eta2p1_v3 | 25.361         | 24.080        |
| 275777:5043 | 06/25/16 10:12:24 | 300  | HLT_Mu45_eta2p1_v3 | 51.590         | 49.540        |
| 275778:5043 | 06/25/16 12:13:15 | 305  | HLT_Mu45_eta2p1_v3 | 48.950         | 47.186        |
| 275782:5043 | 06/25/16 14:44:49 | 761  | HLT_Mu45_eta2p1_v3 | 106.553        | 102.563       |
+-------------+-------------------+------+--------------------+----------------+---------------+
#Summary: 
+--------------------+-------+------+-------+-------------------+------------------+
| hltpath            | nfill | nrun | ncms  | totdelivered(/pb) | totrecorded(/pb) |
+--------------------+-------+------+-------+-------------------+------------------+
| HLT_Mu45_eta2p1_v2 | 23    | 65   | 29160 | 2905.874          | 2788.100         |
| HLT_Mu45_eta2p1_v3 | 13    | 49   | 25426 | 3618.763          | 3473.611         |
+--------------------+-------+------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
