$HOME/.local/bin/brilcalc lumi -b "STABLE BEAMS" --normtag /afs/cern.ch/user/l/lumipro/public/normtag_file/normtag_DATACERT.json -i Cert_271036-280385_13TeV_PromptReco_Collisions16_JSON.txt --hltpath HLT_Ele105_CaloIdVT_GsfTrkIdT_v* -u /pb

+-------------+-------------------+------+----------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                          | delivered(/pb) | recorded(/pb) |
| 276437:5076 | 07/06/16 02:58:47 | 2125 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 379.474        | 364.938       |
| 276454:5076 | 07/06/16 18:08:15 | 527  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 67.782         | 65.824        |
| 276458:5076 | 07/07/16 02:00:22 | 341  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 35.012         | 34.209        |
| 276495:5078 | 07/07/16 11:20:57 | 182  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 40.740         | 38.884        |
| 276501:5078 | 07/07/16 12:47:40 | 2543 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 427.159        | 411.671       |
| 276502:5078 | 07/08/16 05:21:18 | 740  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 90.678         | 87.951        |
| 276525:5080 | 07/08/16 14:15:18 | 2786 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 427.358        | 413.058       |
| 276527:5080 | 07/09/16 08:34:41 | 214  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 23.837         | 23.094        |
| 276528:5080 | 07/09/16 10:01:49 | 391  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 40.594         | 39.543        |
| 276542:5083 | 07/09/16 16:32:22 | 784  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 159.489        | 151.716       |
| 276543:5083 | 07/09/16 21:39:40 | 948  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 157.668        | 151.988       |
| 276544:5083 | 07/10/16 03:53:47 | 160  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 23.529         | 22.600        |
| 276545:5083 | 07/10/16 04:59:24 | 206  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 28.357         | 27.387        |
| 276581:5085 | 07/10/16 12:24:16 | 366  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 78.780         | 75.637        |
| 276582:5085 | 07/10/16 14:52:29 | 871  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 158.962        | 153.540       |
| 276583:5085 | 07/10/16 20:34:28 | 52   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 8.477          | 8.046         |
| 276584:5085 | 07/10/16 20:59:17 | 2    | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 0.324          | 0.177         |
| 276585:5085 | 07/10/16 21:31:21 | 242  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 37.401         | 35.841        |
| 276586:5085 | 07/10/16 23:10:31 | 751  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 102.906        | 99.526        |
| 276587:5085 | 07/11/16 04:14:31 | 1006 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 114.888        | 110.779       |
| 276653:5091 | 07/12/16 00:12:31 | 479  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 91.709         | 88.382        |
| 276655:5091 | 07/12/16 03:26:27 | 1105 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 176.130        | 165.415       |
| 276659:5091 | 07/12/16 10:39:13 | 251  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 33.639         | 30.783        |
| 276775:5093 | 07/12/16 21:26:43 | 1164 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 223.502        | 212.274       |
| 276776:5093 | 07/13/16 05:02:29 | 1823 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 251.526        | 242.983       |
| 276794:5093 | 07/13/16 17:05:19 | 885  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 92.206         | 89.856        |
| 276807:5095 | 07/14/16 03:24:10 | 155  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 32.957         | 31.086        |
| 276808:5095 | 07/14/16 04:28:59 | 875  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 167.948        | 161.488       |
| 276810:5095 | 07/14/16 10:15:44 | 287  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 47.916         | 45.897        |
| 276811:5095 | 07/14/16 12:15:34 | 2562 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 320.406        | 310.488       |
| 276831:5096 | 07/15/16 07:47:46 | 2634 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 420.616        | 404.581       |
| 276834:5096 | 07/16/16 01:42:10 | 720  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v6 | 75.729         | 72.742        |
| 276870:5097 | 07/16/16 11:02:01 | 3403 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v7 | 548.872        | 528.753       |
| 276935:5101 | 07/17/16 23:39:55 | 824  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v7 | 180.563        | 171.024       |
| 276940:5102 | 07/18/16 08:13:36 | 144  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v7 | 34.350         | 29.054        |
| 276946:5102 | 07/18/16 09:56:36 | 27   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v7 | 6.231          | 4.296         |
| 276947:5102 | 07/18/16 10:11:19 | 132  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v7 | 29.516         | 24.808        |
| 276948:5102 | 07/18/16 11:09:47 | 474  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v7 | 96.198         | 86.521        |
| 276950:5102 | 07/18/16 14:16:45 | 2353 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v7 | 337.163        | 322.819       |
| 277069:5105 | 07/19/16 17:52:15 | 309  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v7 | 82.323         | 78.645        |
| 277070:5105 | 07/19/16 19:54:11 | 1058 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v7 | 227.621        | 216.053       |
